# CV_Value(nm) Mean_Force(kcal/mol/nm) Std_Force(kcal/mol/nm) Mean_Free_Energy(kcal/mol) Std_Free_Energy(kcal/mol)
1.600000000000000089e+00 2.271058457499995242e+01 3.914548277056558945e+00 1.718398592187477814e+00 2.015207971979743551e+00
2.100000000000000089e+00 -1.129328710000004499e+01 5.182088388451758121e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.600000000000000089e+00 -1.803494013750004399e+01 4.140775396292307953e+00 8.467982585937521733e+00 1.840850591563431005e+00
3.100000000000000089e+00 -5.721429075000044939e+00 6.844761909628029883e+00 1.357624011770837491e+01 3.510463286599284860e+00
3.600000000000000089e+00 -1.334795252500004281e+01 6.648568187936312768e+00 1.751275074635423223e+01 5.173014517020125602e+00
4.099999999999999645e+00 -6.702260762499824054e+00 3.257080377817023198e+00 2.248457413906251645e+01 5.461845721771131146e+00
4.599999999999999645e+00 -1.034087299999822296e+00 4.241652371746377881e+00 2.437793122552075076e+01 5.990162391915617057e+00
5.099999999999999645e+00 5.878131250017802623e-02 1.099746969609071812e+00 2.443997686354149579e+01 6.456184424983526959e+00
5.599999999999999645e+00 -3.211090687499821961e+00 3.524411589248001686e+00 2.504627334843723929e+01 6.375823265052986244e+00
6.099999999999999645e+00 1.793219500001768940e-01 9.601833223570407361e-01 2.557958364895798553e+01 6.231456249349180965e+00
6.599999999999999645e+00 -1.821430624999822001e+00 1.286248464955523696e+00 2.576547893385372845e+01 6.297868497169034185e+00
