# CV_Value(nm) Mean_Force(kcal/mol/nm) Std_Force(kcal/mol/nm) Mean_Free_Energy(kcal/mol) Std_Free_Energy(kcal/mol)
1.600000000000000089e+00 2.988117706249995464e+01 7.381565782841121859e+00 2.230591713020811273e+00 2.654790753089370181e+00
2.100000000000000089e+00 -1.441347340000004706e+01 5.078261138844025524e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.600000000000000089e+00 -1.943610300000004543e+01 3.868633417400376473e+00 1.009872830260418652e+01 1.677138472411911163e+00
3.100000000000000089e+00 -1.005191932500004270e+01 4.898893483743399280e+00 1.690073128333337849e+01 2.436190753263634434e+00
3.600000000000000089e+00 -1.434779806250004697e+01 4.945549263625591330e+00 2.243065802968756373e+01 3.861828865912805941e+00
4.099999999999999645e+00 -2.221149994999982269e+01 1.009932782407653384e+01 3.227411252812500919e+01 5.079568411206920153e+00
4.599999999999999645e+00 -1.318808194999982142e+01 1.027214649735665475e+01 4.182763799843741026e+01 8.866875377766646693e+00
5.099999999999999645e+00 -4.672762499982217876e-02 1.687105178407138695e+00 4.457833550208315643e+01 1.080195079198790609e+01
5.599999999999999645e+00 -2.974906624998227000e-01 1.418798742455311679e+00 4.410638518385390228e+01 1.066478953667993146e+01
6.099999999999999645e+00 1.269067125001780982e-01 1.240420444596183280e+00 4.412381598749964695e+01 1.046834291628111124e+01
6.599999999999999645e+00 -5.386032499982318367e-02 1.089525722213415371e+00 4.408033920677039674e+01 1.033002607581551224e+01
