# CV_Value(nm) Mean_Force(kcal/mol/nm) Std_Force(kcal/mol/nm) Mean_Free_Energy(kcal/mol) Std_Free_Energy(kcal/mol)
1.600000000000000089e+00 7.211447837499955327e+00 7.149888677576504925e+00 -1.151153802085563838e-02 5.070652235942120001e+00
2.100000000000000089e+00 -6.371658237500044564e+00 1.218866128309354835e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.600000000000000089e+00 -1.463974980000004322e+01 9.018360147604603583e+00 5.474310947395855109e+00 4.427662323508274156e+00
3.100000000000000089e+00 -8.361488662500043745e+00 5.985133031726896924e+00 1.129156633906254470e+01 4.882501129402348816e+00
3.600000000000000089e+00 -4.765289000000448860e-01 2.583599692945976578e+00 1.356801650572923279e+01 4.847512157690441192e+00
4.099999999999999645e+00 9.853050000178498191e-03 2.314856010775443007e+00 1.354149792395835483e+01 4.591287691957083084e+00
4.599999999999999645e+00 -2.940266062499822031e+00 4.066330972890378703e+00 1.413091363281242252e+01 4.370236950765601591e+00
5.099999999999999645e+00 4.948708000001778018e-01 1.081809246214532116e+00 1.451873697812483499e+01 4.696438882165645090e+00
5.599999999999999645e+00 -1.434603624999823079e+00 2.663350640678069148e+00 1.453014471406224573e+01 4.835879455188134557e+00
6.099999999999999645e+00 -3.358384124998236020e-01 1.388073417104533691e+00 1.494298268281216124e+01 5.061165588422763761e+00
6.599999999999999645e+00 4.838582500017687277e-02 1.125950515495645066e+00 1.498507328906206837e+01 5.099242844410604825e+00
