ps_length	pull_dist	mean_force	std_force
1	4.89	-1.1018366666665063	4.473971756359336
2	2.30	-12.543704533333244	6.231459250745575
4	3.03	-41.89350796666657	7.545835428484052
4	5.14	-1.5007730666665053	1.929151489426348
5	4.18	-6.626469499999856	3.0005385903544015
8	2.64	-14.628905300000062	8.134130216025547
9	5.33	-1.5464156000000346	2.391309390388985
11	5.05	0.36081696666675606	1.6813004030767518
12	3.84	0.35530090000007114	5.20652879106266
13	2.68	-24.019125900000077	3.6142819247530813
13	3.61	-15.29339479999994	7.75640726408659
14	4.73	-2.1017775000002117	3.9176418415762617
16	2.99	-38.196710700000104	7.139473557749756
16	4.75	-3.467546900000001	2.2746327770811954
17	3.21	-38.217784066666646	6.7315060486644125
18	3.52	-11.518332666666677	4.2253064871177335
22	4.46	-16.722111533333315	10.989268515493803
24	2.69	-20.559091599999974	5.822964421779111
24	3.85	-4.866076766666711	4.829782608262763
27	3.96	-2.7837674333333156	5.1787228218146115
28	3.35	-4.716988300000044	4.627960675516243
29	4.38	2.1677841000000533	3.4619144451835395
30	3.33	-18.1556584666667	6.126301747839177
31	5.52	0.3944342666668792	1.4043693602426186
35	4.59	0.6404483000000705	4.355094150783283
37	3.35	-1.5021191333333774	7.521588695070751
38	3.08	-45.6279229666667	12.387975421817702
